Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
light-me-up-luminous-setting-spray,Light Me Up Luminous Setting Spray,<p>A glow-finishing spray with micro-fine light reflectors. Mist from a distance or it can go patchy on matte foundation.</p><ul><li>Size: 80ml</li><li>Finish: Radiant</li><li>Category: Face — Setting Spray</li></ul>,SHEGLAM,Setting Spray,"Face, Setting Spray, Radiant, Sale",TRUE,Title,Default Title,,,,,SGPK-1029,105,shopify,20,deny,manual,2390,2790,TRUE,TRUE,,,,FALSE,Light Me Up Luminous Setting Spray | SHEGLAM PK,Buy Light Me Up Luminous Setting Spray in Pakistan. A glow-finishing spray with micro-fine light reflectors. Mist from a distance or it can go patchy on matte f,active
camera-on-blurring-waterproof-setting-spray,Camera On Blurring Waterproof Setting Spray,"<p>A waterproof, transfer-resistant setting spray for weddings and long events. Needs an oil cleanser to come off properly.</p><ul><li>Size: 80ml</li><li>Finish: Matte</li><li>Category: Face — Setting Spray</li></ul>",SHEGLAM,Setting Spray,"Face, Setting Spray, Matte, Sale",TRUE,Title,Default Title,,,,,SGPK-1030,105,shopify,20,deny,manual,2290,2790,TRUE,TRUE,,,,FALSE,Camera On Blurring Waterproof Setting Spray | SHEGLAM PK,"Buy Camera On Blurring Waterproof Setting Spray in Pakistan. A waterproof, transfer-resistant setting spray for weddings and long events. Needs an oil cleanser ",active
lashlighter-up-out-mascara,Lashlighter Up & Out Mascara,"<p>A curved brush mascara that lifts lashes up and fans them outward. Builds length first, volume on the second coat.</p><ul><li>Size: 8ml</li><li>Finish: Matte</li><li>Category: Eyes — Mascara</li></ul>",SHEGLAM,Mascara,"Eyes, Mascara, Matte, Bestseller, Multi-Shade",TRUE,Shade,Black,,,,,SGPK-1031-BLACK,33,shopify,12,deny,manual,1790,,TRUE,TRUE,,,,FALSE,Lashlighter Up & Out Mascara | SHEGLAM PK,"Buy Lashlighter Up & Out Mascara in Pakistan. A curved brush mascara that lifts lashes up and fans them outward. Builds length first, volume on the second coat.",active
lashlighter-up-out-mascara,,,,,,,,Brown,,,,,SGPK-1031-BROWN,33,shopify,12,deny,manual,1790,,TRUE,TRUE,,,,,,,
all-in-one-primer-tubing-volume-mascara,All-In-One Primer & Tubing Volume Mascara,"<p>A white primer on one end and a tubing mascara on the other. The tubes slide off with warm water — no raccoon eyes, no rubbing.</p><ul><li>Size: 2 x 4ml</li><li>Finish: Matte</li><li>Category: Eyes — Mascara</li></ul>",SHEGLAM,Mascara,"Eyes, Mascara, Matte",TRUE,Title,Default Title,,,,,SGPK-1032,29,shopify,20,deny,manual,1690,,TRUE,TRUE,,,,FALSE,All-In-One Primer & Tubing Volume Mascara | SHEGLAM PK,Buy All-In-One Primer & Tubing Volume Mascara in Pakistan. A white primer on one end and a tubing mascara on the other. The tubes slide off with warm water — no,active
pro-precision-waterproof-liquid-eyeliner,Pro Precision Waterproof Liquid Eyeliner,<p>A 0.5mm felt tip that holds its point through a full wing. Waterproof formula that does not flake off by mid-afternoon.</p><ul><li>Size: 1ml</li><li>Finish: Matte</li><li>Category: Eyes — Eyeliner</li></ul>,SHEGLAM,Eyeliner,"Eyes, Eyeliner, Matte, Multi-Shade",TRUE,Shade,Black,,,,,SGPK-1033-BLACK,26,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,FALSE,Pro Precision Waterproof Liquid Eyeliner | SHEGLAM PK,Buy Pro Precision Waterproof Liquid Eyeliner in Pakistan. A 0.5mm felt tip that holds its point through a full wing. Waterproof formula that does not flake off ,active
pro-precision-waterproof-liquid-eyeliner,,,,,,,,Brown,,,,,SGPK-1033-BROWN,26,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,,,,
boldline-longwear-multi-function-gel-liner,Boldline Longwear Multi-Function Gel Liner,<p>A retractable gel pencil soft enough to tightline and firm enough to smudge out before it sets. Sets fast — work one eye at a time.</p><ul><li>Size: 0.3g</li><li>Finish: Matte</li><li>Category: Eyes — Eyeliner</li></ul>,SHEGLAM,Eyeliner,"Eyes, Eyeliner, Matte, Multi-Shade",TRUE,Shade,Black,,,,,SGPK-1034-BLACK,25,shopify,12,deny,manual,1190,,TRUE,TRUE,,,,FALSE,Boldline Longwear Multi-Function Gel Liner | SHEGLAM PK,Buy Boldline Longwear Multi-Function Gel Liner in Pakistan. A retractable gel pencil soft enough to tightline and firm enough to smudge out before it sets. Sets,active
boldline-longwear-multi-function-gel-liner,,,,,,,,Brown,,,,,SGPK-1034-BROWN,25,shopify,12,deny,manual,1190,,TRUE,TRUE,,,,,,,
boldline-longwear-multi-function-gel-liner,,,,,,,,Navy,,,,,SGPK-1034-NAVY,25,shopify,12,deny,manual,1190,,TRUE,TRUE,,,,,,,
big-n-bright-eye-pencil,Big N' Bright Eye Pencil,<p>A brightening pencil for the waterline and inner corner. Nude reads more natural than white on most skin tones.</p><ul><li>Size: 0.3g</li><li>Finish: Satin</li><li>Category: Eyes — Eyeliner</li></ul>,SHEGLAM,Eyeliner,"Eyes, Eyeliner, Satin, Multi-Shade",TRUE,Shade,White,,,,,SGPK-1035-WHITE,25,shopify,12,deny,manual,990,,TRUE,TRUE,,,,FALSE,Big N' Bright Eye Pencil | SHEGLAM PK,Buy Big N' Bright Eye Pencil in Pakistan. A brightening pencil for the waterline and inner corner. Nude reads more natural than white on most skin tones.,active
big-n-bright-eye-pencil,,,,,,,,Nude,,,,,SGPK-1035-NUDE,25,shopify,12,deny,manual,990,,TRUE,TRUE,,,,,,,
streamline-brow-eyeliner-gel,Streamline Brow & Eyeliner Gel,<p>One gel that does hair-stroke brows and a clean liner with the same angled tip. Sets waterproof once it dries.</p><ul><li>Size: 4g</li><li>Finish: Matte</li><li>Category: Eyes — Brows</li></ul>,SHEGLAM,Brows,"Eyes, Brows, Matte, Sale, Multi-Shade",TRUE,Shade,Taupe,,,,,SGPK-1036-TAUPE,29,shopify,12,deny,manual,1890,2190,TRUE,TRUE,,,,FALSE,Streamline Brow & Eyeliner Gel | SHEGLAM PK,Buy Streamline Brow & Eyeliner Gel in Pakistan. One gel that does hair-stroke brows and a clean liner with the same angled tip. Sets waterproof once it dries.,active
streamline-brow-eyeliner-gel,,,,,,,,Soft Brown,,,,,SGPK-1036-SOFT-BROWN,29,shopify,12,deny,manual,1890,2190,TRUE,TRUE,,,,,,,
streamline-brow-eyeliner-gel,,,,,,,,Dark Brown,,,,,SGPK-1036-DARK-BROWN,29,shopify,12,deny,manual,1890,2190,TRUE,TRUE,,,,,,,
set-me-up-brow-gel,Set Me Up Brow Gel,"<p>A laminating brow gel that holds hairs brushed up all day without crunch. Clear works over pencil, tinted works alone.</p><ul><li>Size: 6ml</li><li>Finish: Natural</li><li>Category: Eyes — Brows</li></ul>",SHEGLAM,Brows,"Eyes, Brows, Natural, Multi-Shade",TRUE,Shade,Clear,,,,,SGPK-1037-CLEAR,31,shopify,12,deny,manual,1390,,TRUE,TRUE,,,,FALSE,Set Me Up Brow Gel | SHEGLAM PK,"Buy Set Me Up Brow Gel in Pakistan. A laminating brow gel that holds hairs brushed up all day without crunch. Clear works over pencil, tinted works alone.",active
set-me-up-brow-gel,,,,,,,,Soft Brown,,,,,SGPK-1037-SOFT-BROWN,31,shopify,12,deny,manual,1390,,TRUE,TRUE,,,,,,,
creamsicle-eyeshadow-stick,Creamsicle Eyeshadow Stick,<p>A blendable cream shadow stick that becomes a full eye look in about thirty seconds. Set with powder if your lids crease.</p><ul><li>Size: 1.4g</li><li>Finish: Satin</li><li>Category: Eyes — Eyeshadow</li></ul>,SHEGLAM,Eyeshadow,"Eyes, Eyeshadow, Satin, Multi-Shade",TRUE,Shade,Flirty,,,,,SGPK-1038-FLIRTY,26,shopify,12,deny,manual,1490,,TRUE,TRUE,https://sheglampk.com/assets/img/products/creamsicle-eyeshadow-stick.jpg,1,Creamsicle Eyeshadow Stick,FALSE,Creamsicle Eyeshadow Stick | SHEGLAM PK,Buy Creamsicle Eyeshadow Stick in Pakistan. A blendable cream shadow stick that becomes a full eye look in about thirty seconds. Set with powder if your lids cr,active
creamsicle-eyeshadow-stick,,,,,,,,Cocoa,,,,,SGPK-1038-COCOA,26,shopify,12,deny,manual,1490,,TRUE,TRUE,,,,,,,
creamsicle-eyeshadow-stick,,,,,,,,Champagne,,,,,SGPK-1038-CHAMPAGNE,26,shopify,12,deny,manual,1490,,TRUE,TRUE,,,,,,,
crystal-jelly-glaze-stick,Crystal Jelly Glaze Stick,<p>A jelly-textured glaze that lays down a wash of wet-look sparkle. Pat with a fingertip rather than blending with a brush.</p><ul><li>Size: 1.4g</li><li>Finish: Shimmer</li><li>Category: Eyes — Eyeshadow</li></ul>,SHEGLAM,Eyeshadow,"Eyes, Eyeshadow, Shimmer, Sale, Multi-Shade",TRUE,Shade,Starlit Silver,,,,,SGPK-1039-STARLIT-SILV,26,shopify,12,deny,manual,1590,1990,TRUE,TRUE,,,,FALSE,Crystal Jelly Glaze Stick | SHEGLAM PK,Buy Crystal Jelly Glaze Stick in Pakistan. A jelly-textured glaze that lays down a wash of wet-look sparkle. Pat with a fingertip rather than blending with a br,active
crystal-jelly-glaze-stick,,,,,,,,Rose Quartz,,,,,SGPK-1039-ROSE-QUARTZ,26,shopify,12,deny,manual,1590,1990,TRUE,TRUE,,,,,,,
crystal-jelly-glaze-stick,,,,,,,,Gold Dust,,,,,SGPK-1039-GOLD-DUST,26,shopify,12,deny,manual,1590,1990,TRUE,TRUE,,,,,,,
lunar-jelly-frosty-eyeshadow-stick,Lunar Jelly Frosty Eyeshadow Stick,"<p>A frosted jelly shadow with a cool, glassy finish. Sits beautifully over a matte crease shade.</p><ul><li>Size: 1.4g</li><li>Finish: Shimmer</li><li>Category: Eyes — Eyeshadow</li></ul>",SHEGLAM,Eyeshadow,"Eyes, Eyeshadow, Shimmer, New Arrival, Multi-Shade",TRUE,Shade,Caramel Candy,,,,,SGPK-1040-CARAMEL-CAND,26,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,FALSE,Lunar Jelly Frosty Eyeshadow Stick | SHEGLAM PK,"Buy Lunar Jelly Frosty Eyeshadow Stick in Pakistan. A frosted jelly shadow with a cool, glassy finish. Sits beautifully over a matte crease shade.",active
lunar-jelly-frosty-eyeshadow-stick,,,,,,,,Moon Milk,,,,,SGPK-1040-MOON-MILK,26,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,,,,
prismalight-baked-gelee-eyeshadow-duo,Prismalight Baked Gelee Eyeshadow Duo,<p>Two baked multichrome shades that shift colour depending on the light. Use damp for full intensity.</p><ul><li>Size: 5g</li><li>Finish: Shimmer</li><li>Category: Eyes — Eyeshadow</li></ul>,SHEGLAM,Eyeshadow,"Eyes, Eyeshadow, Shimmer",TRUE,Title,Default Title,,,,,SGPK-1041,30,shopify,20,deny,manual,3190,,TRUE,TRUE,,,,FALSE,Prismalight Baked Gelee Eyeshadow Duo | SHEGLAM PK,Buy Prismalight Baked Gelee Eyeshadow Duo in Pakistan. Two baked multichrome shades that shift colour depending on the light. Use damp for full intensity.,active
the-everywhere-4-in-1-pen,The Everywhere 4-In-1 Pen,"<p>Four coordinated shades in one pen for eyes, brows and inner corners. Built for travel and touch-ups in a small bag.</p><ul><li>Size: 4g</li><li>Finish: Satin</li><li>Category: Eyes — Eyeshadow</li></ul>",SHEGLAM,Eyeshadow,"Eyes, Eyeshadow, Satin",TRUE,Title,Default Title,,,,,SGPK-1042,29,shopify,20,deny,manual,1590,,TRUE,TRUE,,,,FALSE,The Everywhere 4-In-1 Pen | SHEGLAM PK,"Buy The Everywhere 4-In-1 Pen in Pakistan. Four coordinated shades in one pen for eyes, brows and inner corners. Built for travel and touch-ups in a small bag.",active
double-dot-freckle-pen,Double Dot Freckle Pen,<p>A dual-tip pen for tapping on faux freckles that look convincingly uneven. Dab and press with a finger to soften.</p><ul><li>Size: 1ml</li><li>Finish: Natural</li><li>Category: Eyes — Eyeshadow</li></ul>,SHEGLAM,Eyeshadow,"Eyes, Eyeshadow, Natural, Multi-Shade",TRUE,Shade,Fawn,,,,,SGPK-1043-FAWN,26,shopify,12,deny,manual,1390,,TRUE,TRUE,,,,FALSE,Double Dot Freckle Pen | SHEGLAM PK,Buy Double Dot Freckle Pen in Pakistan. A dual-tip pen for tapping on faux freckles that look convincingly uneven. Dab and press with a finger to soften.,active
double-dot-freckle-pen,,,,,,,,Cocoa,,,,,SGPK-1043-COCOA,26,shopify,12,deny,manual,1390,,TRUE,TRUE,,,,,,,
ready-set-eyeshadow-primer,Ready Set Eyeshadow Primer,<p>A gripping lid primer that stops cream shadow migrating into the crease. One thin layer only — more will pill.</p><ul><li>Size: 5ml</li><li>Finish: Natural</li><li>Category: Eyes — Eye Primer</li></ul>,SHEGLAM,Eye Primer,"Eyes, Eye Primer, Natural",TRUE,Title,Default Title,,,,,SGPK-1044,30,shopify,20,deny,manual,1390,,TRUE,TRUE,,,,FALSE,Ready Set Eyeshadow Primer | SHEGLAM PK,Buy Ready Set Eyeshadow Primer in Pakistan. A gripping lid primer that stops cream shadow migrating into the crease. One thin layer only — more will pill.,active
marshmallow-puff-lip-blur-pen,Marshmallow Puff Lip Blur Pen,"<p>A semi-liquid lip mud that dries to a soft, blurred matte with real colour payoff. Shea butter keeps it from going tight.</p><ul><li>Size: 1.75g</li><li>Finish: Matte</li><li>Category: Lips — Lip Tint</li></ul>",SHEGLAM,Lip Tint,"Lips, Lip Tint, Matte, Bestseller, Multi-Shade",TRUE,Shade,Gotcha,,,,,SGPK-1045-GOTCHA,27,shopify,12,deny,manual,1490,,TRUE,TRUE,,,,FALSE,Marshmallow Puff Lip Blur Pen | SHEGLAM PK,"Buy Marshmallow Puff Lip Blur Pen in Pakistan. A semi-liquid lip mud that dries to a soft, blurred matte with real colour payoff. Shea butter keeps it from goin",active
marshmallow-puff-lip-blur-pen,,,,,,,,High Key,,,,,SGPK-1045-HIGH-KEY,27,shopify,12,deny,manual,1490,,TRUE,TRUE,,,,,,,
marshmallow-puff-lip-blur-pen,,,,,,,,Berry Mousse,,,,,SGPK-1045-BERRY-MOUSSE,27,shopify,12,deny,manual,1490,,TRUE,TRUE,,,,,,,
marshmallow-puff-lip-blur-pen,,,,,,,,Milk Fluff,,,,,SGPK-1045-MILK-FLUFF,27,shopify,12,deny,manual,1490,,TRUE,TRUE,,,,,,,
glass-lock-air-gloss,Glass Lock Air Gloss,<p>A weightless gloss with glass-like shine and no stickiness at all. Layers over anything without disturbing the colour underneath.</p><ul><li>Size: 3ml</li><li>Finish: Dewy</li><li>Category: Lips — Lip Gloss</li></ul>,SHEGLAM,Lip Gloss,"Lips, Lip Gloss, Dewy, Sale, Multi-Shade",TRUE,Shade,Strawberry Milk,,,,,SGPK-1046-STRAWBERRY-M,28,shopify,12,deny,manual,1290,1790,TRUE,TRUE,,,,FALSE,Glass Lock Air Gloss | SHEGLAM PK,Buy Glass Lock Air Gloss in Pakistan. A weightless gloss with glass-like shine and no stickiness at all. Layers over anything without disturbing the colour unde,active
glass-lock-air-gloss,,,,,,,,Peach Soda,,,,,SGPK-1046-PEACH-SODA,28,shopify,12,deny,manual,1290,1790,TRUE,TRUE,,,,,,,
glass-lock-air-gloss,,,,,,,,Clear,,,,,SGPK-1046-CLEAR,28,shopify,12,deny,manual,1290,1790,TRUE,TRUE,,,,,,,
glazed-locked-glossy-lip-tint,Glazed & Locked Glossy Lip Tint,"<p>A tint that stains underneath and glosses on top, so colour survives a cup of chai. Reapply the shine, not the colour.</p><ul><li>Size: 3ml</li><li>Finish: Dewy</li><li>Category: Lips — Lip Tint</li></ul>",SHEGLAM,Lip Tint,"Lips, Lip Tint, Dewy, New Arrival, Multi-Shade",TRUE,Shade,Sepia Kiss,,,,,SGPK-1047-SEPIA-KISS,28,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,FALSE,Glazed & Locked Glossy Lip Tint | SHEGLAM PK,"Buy Glazed & Locked Glossy Lip Tint in Pakistan. A tint that stains underneath and glosses on top, so colour survives a cup of chai. Reapply the shine, not the ",active
glazed-locked-glossy-lip-tint,,,,,,,,Rosewater,,,,,SGPK-1047-ROSEWATER,28,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,,,,
glazed-locked-glossy-lip-tint,,,,,,,,Mulberry,,,,,SGPK-1047-MULBERRY,28,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,,,,
fall-in-line-peel-off-lip-liner-stain,Fall In Line Peel Off Lip Liner Stain,"<p>Paint on, wait, peel off — and the stain stays put for hours. Overline gently; the peel picks up exactly where you drew.</p><ul><li>Size: 2.5ml</li><li>Finish: Matte</li><li>Category: Lips — Lip Liner</li></ul>",SHEGLAM,Lip Liner,"Lips, Lip Liner, Matte, Sale, Multi-Shade",TRUE,Shade,Pinky Promise,,,,,SGPK-1048-PINKY-PROMIS,28,shopify,12,deny,manual,1290,1490,TRUE,TRUE,,,,FALSE,Fall In Line Peel Off Lip Liner Stain | SHEGLAM PK,"Buy Fall In Line Peel Off Lip Liner Stain in Pakistan. Paint on, wait, peel off — and the stain stays put for hours. Overline gently; the peel picks up exactly ",active
fall-in-line-peel-off-lip-liner-stain,,,,,,,,Berry,,,,,SGPK-1048-BERRY,28,shopify,12,deny,manual,1290,1490,TRUE,TRUE,,,,,,,
line-to-shine-peel-off-lip-stain-gloss-duo,Line To Shine Peel-Off Lip Stain & Gloss Duo,<p>A peel-off stain on one end and a matching gloss on the other. The full long-wear lip routine in a single tube.</p><ul><li>Size: 2 x 2ml</li><li>Finish: Dewy</li><li>Category: Lips — Lip Liner</li></ul>,SHEGLAM,Lip Liner,"Lips, Lip Liner, Dewy, Multi-Shade",TRUE,Shade,Berry Milkshake,,,,,SGPK-1049-BERRY-MILKSH,27,shopify,12,deny,manual,1390,,TRUE,TRUE,,,,FALSE,Line To Shine Peel-Off Lip Stain & Gloss Duo | SHEGLAM PK,Buy Line To Shine Peel-Off Lip Stain & Gloss Duo in Pakistan. A peel-off stain on one end and a matching gloss on the other. The full long-wear lip routine in a,active
line-to-shine-peel-off-lip-stain-gloss-duo,,,,,,,,Rose Latte,,,,,SGPK-1049-ROSE-LATTE,27,shopify,12,deny,manual,1390,,TRUE,TRUE,,,,,,,
hydra-jelly-pocket-lip-jam,Hydra Jelly Pocket Lip Jam,<p>A jelly balm in a pocket pot with a sheer wash of colour. Genuinely hydrating rather than just shiny.</p><ul><li>Size: 5g</li><li>Finish: Dewy</li><li>Category: Lips — Lip Balm</li></ul>,SHEGLAM,Lip Balm,"Lips, Lip Balm, Dewy, Multi-Shade",TRUE,Shade,Fig Flirt,,,,,SGPK-1050-FIG-FLIRT,30,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,FALSE,Hydra Jelly Pocket Lip Jam | SHEGLAM PK,Buy Hydra Jelly Pocket Lip Jam in Pakistan. A jelly balm in a pocket pot with a sheer wash of colour. Genuinely hydrating rather than just shiny.,active
hydra-jelly-pocket-lip-jam,,,,,,,,Peach Jam,,,,,SGPK-1050-PEACH-JAM,30,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,,,,
bounce-putty-pocket-lip-pot,Bounce Putty Pocket Lip Pot,<p>A bouncy putty texture that cushions on the lips with a satin finish. Sits well over liner without sliding.</p><ul><li>Size: 5g</li><li>Finish: Satin</li><li>Category: Lips — Lip Balm</li></ul>,SHEGLAM,Lip Balm,"Lips, Lip Balm, Satin, Multi-Shade",TRUE,Shade,High Key,,,,,SGPK-1051-HIGH-KEY,30,shopify,12,deny,manual,1890,,TRUE,TRUE,https://sheglampk.com/assets/img/products/bounce-putty-pocket-lip-pot.jpg,1,Bounce Putty Pocket Lip Pot,FALSE,Bounce Putty Pocket Lip Pot | SHEGLAM PK,Buy Bounce Putty Pocket Lip Pot in Pakistan. A bouncy putty texture that cushions on the lips with a satin finish. Sits well over liner without sliding.,active
bounce-putty-pocket-lip-pot,,,,,,,,Mauve,,,,,SGPK-1051-MAUVE,30,shopify,12,deny,manual,1890,,TRUE,TRUE,,,,,,,
air-plush-lip-cheek-cream,Air Plush Lip & Cheek Cream,<p>One airy cream for lips and cheeks that keeps a look cohesive. Blends out on the cheek before it sets — work quickly.</p><ul><li>Size: 6ml</li><li>Finish: Natural</li><li>Category: Lips — Lip Tint</li></ul>,SHEGLAM,Lip Tint,"Lips, Lip Tint, Natural, Sale, Multi-Shade",TRUE,Shade,High Winds,,,,,SGPK-1052-HIGH-WINDS,31,shopify,12,deny,manual,1790,1990,TRUE,TRUE,,,,FALSE,Air Plush Lip & Cheek Cream | SHEGLAM PK,Buy Air Plush Lip & Cheek Cream in Pakistan. One airy cream for lips and cheeks that keeps a look cohesive. Blends out on the cheek before it sets — work quickl,active
air-plush-lip-cheek-cream,,,,,,,,Soft Bloom,,,,,SGPK-1052-SOFT-BLOOM,31,shopify,12,deny,manual,1790,1990,TRUE,TRUE,,,,,,,
jelly-wow-hydrating-lip-oil,Jelly Wow Hydrating Lip Oil,<p>A non-sticky lip oil that treats overnight and shines during the day. The doe-foot holds enough for a full lip in one dip.</p><ul><li>Size: 5ml</li><li>Finish: Dewy</li><li>Category: Lips — Lip Balm</li></ul>,SHEGLAM,Lip Balm,"Lips, Lip Balm, Dewy, Multi-Shade",TRUE,Shade,Clear,,,,,SGPK-1053-CLEAR,30,shopify,12,deny,manual,1690,,TRUE,TRUE,,,,FALSE,Jelly Wow Hydrating Lip Oil | SHEGLAM PK,Buy Jelly Wow Hydrating Lip Oil in Pakistan. A non-sticky lip oil that treats overnight and shines during the day. The doe-foot holds enough for a full lip in o,active
jelly-wow-hydrating-lip-oil,,,,,,,,Cherry Tint,,,,,SGPK-1053-CHERRY-TINT,30,shopify,12,deny,manual,1690,,TRUE,TRUE,,,,,,,
jelly-wow-hydrating-lip-oil,,,,,,,,Honey,,,,,SGPK-1053-HONEY,30,shopify,12,deny,manual,1690,,TRUE,TRUE,,,,,,,
blend-ready-makeup-sponge-duo,Blend Ready Makeup Sponge Duo,"<p>Two latex-free sponges that double in size when damp. One for base, one for concealer and setting powder.</p><ul><li>Size: 2 pieces</li><li>Finish: Natural</li><li>Category: Tools &amp; Others — Sponges</li></ul>",SHEGLAM,Sponges,"Tools & Others, Sponges, Natural",TRUE,Title,Default Title,,,,,SGPK-1054,40,shopify,20,deny,manual,990,,TRUE,TRUE,,,,FALSE,Blend Ready Makeup Sponge Duo | SHEGLAM PK,"Buy Blend Ready Makeup Sponge Duo in Pakistan. Two latex-free sponges that double in size when damp. One for base, one for concealer and setting powder.",active
precision-face-brush-set,Precision Face Brush Set,"<p>Five synthetic face brushes covering foundation, concealer, blush, contour and powder. Dense enough to buff without streaking.</p><ul><li>Size: 5 pieces</li><li>Finish: Natural</li><li>Category: Tools &amp; Others — Brushes</li></ul>",SHEGLAM,Brushes,"Tools & Others, Brushes, Natural, Sale",TRUE,Title,Default Title,,,,,SGPK-1055,40,shopify,20,deny,manual,3490,3990,TRUE,TRUE,,,,FALSE,Precision Face Brush Set | SHEGLAM PK,"Buy Precision Face Brush Set in Pakistan. Five synthetic face brushes covering foundation, concealer, blush, contour and powder. Dense enough to buff without st",active
everyday-eye-brush-set,Everyday Eye Brush Set,"<p>A packer, a blender, a pencil and an angled liner brush — the four that actually get used. Soft synthetic bristles that do not scratch the lid.</p><ul><li>Size: 4 pieces</li><li>Finish: Natural</li><li>Category: Tools &amp; Others — Brushes</li></ul>",SHEGLAM,Brushes,"Tools & Others, Brushes, Natural",TRUE,Title,Default Title,,,,,SGPK-1056,40,shopify,20,deny,manual,2490,,TRUE,TRUE,,,,FALSE,Everyday Eye Brush Set | SHEGLAM PK,"Buy Everyday Eye Brush Set in Pakistan. A packer, a blender, a pencil and an angled liner brush — the four that actually get used. Soft synthetic bristles that ",active
glam-kit-cosmetic-pouch,Glam Kit Cosmetic Pouch,"<p>A wipe-clean zip pouch sized for a full daily kit. Water-resistant lining, flat base so it stands on a counter.</p><ul><li>Size: One size</li><li>Finish: Natural</li><li>Category: Tools &amp; Others — Accessories</li></ul>",SHEGLAM,Accessories,"Tools & Others, Accessories, Natural",TRUE,Title,Default Title,,,,,SGPK-1057,40,shopify,20,deny,manual,1690,,TRUE,TRUE,,,,FALSE,Glam Kit Cosmetic Pouch | SHEGLAM PK,"Buy Glam Kit Cosmetic Pouch in Pakistan. A wipe-clean zip pouch sized for a full daily kit. Water-resistant lining, flat base so it stands on a counter.",active
pro-lash-curler,Pro Lash Curler,<p>A stainless curler with a wide-fit plate that suits most eye shapes. Comes with one spare silicone pad.</p><ul><li>Size: One size</li><li>Finish: Natural</li><li>Category: Tools &amp; Others — Accessories</li></ul>,SHEGLAM,Accessories,"Tools & Others, Accessories, Natural",TRUE,Title,Default Title,,,,,SGPK-1058,40,shopify,20,deny,manual,890,,TRUE,TRUE,,,,FALSE,Pro Lash Curler | SHEGLAM PK,Buy Pro Lash Curler in Pakistan. A stainless curler with a wide-fit plate that suits most eye shapes. Comes with one spare silicone pad.,active
silicone-brush-cleaning-mat,Silicone Brush Cleaning Mat,<p>A suction-backed textured mat that gets brushes properly clean in half the time. Fits in a standard basin.</p><ul><li>Size: One size</li><li>Finish: Natural</li><li>Category: Tools &amp; Others — Accessories</li></ul>,SHEGLAM,Accessories,"Tools & Others, Accessories, Natural",TRUE,Title,Default Title,,,,,SGPK-1059,40,shopify,20,deny,manual,690,,TRUE,TRUE,,,,FALSE,Silicone Brush Cleaning Mat | SHEGLAM PK,Buy Silicone Brush Cleaning Mat in Pakistan. A suction-backed textured mat that gets brushes properly clean in half the time. Fits in a standard basin.,active
wake-up-call-undereye-color-corrector,Wake Up Call Undereye Color Corrector,<p>A creamy concealer that lifts shadow without caking. Works on its own or layered under the rest of your base.</p><ul><li>Size: 6ml</li><li>Finish: Natural</li><li>Category: Face — Concealer</li></ul>,SHEGLAM,Concealer,"Face, Concealer, Natural, Bestseller, Multi-Shade",TRUE,Shade,Peach,,,,,SGPK-1061-PEACH,31,shopify,12,deny,manual,1490,,TRUE,TRUE,,,,FALSE,Wake Up Call Undereye Color Corrector | SHEGLAM PK,Buy Wake Up Call Undereye Color Corrector in Pakistan. A creamy concealer that lifts shadow without caking. Works on its own or layered under the rest of your b,active
triple-threat-correcting-primer,Triple Threat Correcting Primer,<p>A smoothing base that evens out texture before colour goes on. Comfortable enough for all-day wear in Pakistani heat.</p><ul><li>Size: 30ml</li><li>Finish: Natural</li><li>Category: Face — Primer</li></ul>,SHEGLAM,Primer,"Face, Primer, Natural",TRUE,Title,Default Title,,,,,SGPK-1062,55,shopify,20,deny,manual,2790,,TRUE,TRUE,,,,FALSE,Triple Threat Correcting Primer | SHEGLAM PK,Buy Triple Threat Correcting Primer in Pakistan. A smoothing base that evens out texture before colour goes on. Comfortable enough for all-day wear in Pakistani,active
good-grip-hydrating-primer-travel-size,Good Grip Hydrating Primer-Travel Size,<p>A lightweight base layer that buys your makeup extra hours. Suits everyday wear as easily as a full evening look.</p><ul><li>Size: 30ml</li><li>Finish: Dewy</li><li>Category: Face — Primer</li></ul>,SHEGLAM,Primer,"Face, Primer, Dewy",TRUE,Title,Default Title,,,,,SGPK-1063,55,shopify,20,deny,manual,3090,,TRUE,TRUE,,,,FALSE,Good Grip Hydrating Primer-Travel Size | SHEGLAM PK,Buy Good Grip Hydrating Primer-Travel Size in Pakistan. A lightweight base layer that buys your makeup extra hours. Suits everyday wear as easily as a full even,active
